,131698
0,84
1,29842
2,338180
3,7885
4,18696
5,322925
6,10432
7,202457
8,29034
9,23926
10,44929
11,306671
12,8444
13,23469
14,26112
15,44573
16,400531
17,1519
18,21638
19,35065
20,25004
21,5098
22,20470
23,330843
24,23995
25,312282
26,24815
27,10639
28,36473
29,141440
30,52150
31,49358
32,35650
33,18813
34,336882
35,10810
36,38333
37,12954
38,15931
39,360227
40,18236
41,21236
42,24865
43,26515
44,9008364
45,12022
46,48532
47,4506
48,22553
49,24839
50,348094
51,341488
52,11827
53,403522
54,16229
55,9319
56,36223
57,403695
58,21291
59,13033200
60,19475
61,21464
62,101345
63,12857
64,350003
65,401379
66,122416
67,340174
68,23493
69,27026
70,2583
71,26938
72,112110
73,55303
74,404829
75,18952
76,10365
77,145011
78,51184
79,404469
80,18595
81,25042
82,304820
83,39132
84,16825
85,28655
86,7601
87,142943
88,20890
89,25354
90,20980
91,23958
92,20920
93,36482
94,54266
95,300474
96,14771
97,24018
98,302951
99,16390
100,329233
101,20287
102,9013343
103,20802
104,150730
105,37417
106,351433
107,6865
108,18794
109,21247
110,2733
111,6637
112,6536
113,11944
114,35385
115,159
116,41129
117,41164
118,11171
119,119495
120,15268
121,35445
122,50697
123,314126
124,338003
125,105783
126,22313
127,117127
128,21129
129,1318
130,361761
131,38536
132,406763
133,27970
134,54528
135,2535
136,4413
137,17124
138,410223
139,109413
140,311320
141,41651
142,111518
143,318960
144,13351
145,18432
146,108662
147,369954
148,30506
149,312270
