,データ管理番号１
0,813000025
1,813017278
2,813031803
3,812631348
4,813009103
5,812701631
6,812985102
7,813023173
8,813008450
9,812698861
10,813021659
11,812680858
12,804030759
13,813025305
14,813032443
15,812927258
16,813016598
17,812991513
18,813021731
19,812672424
20,812684906
21,812995406
22,812632599
23,813030855
24,807027870
25,807033710
26,812695720
27,804027332
28,812666220
29,813021217
30,812985408
31,812707643
32,813017917
33,813031068
34,813022653
35,813008212
36,800029035
37,812685740
38,813000319
39,812681363
40,813006491
41,813002258
42,813024037
43,813034152
44,812631859
45,812984970
46,813031067
47,813026389
48,813033676
49,812996174
50,812727593
51,812700100
52,812629096
53,813018504
54,812823530
55,812679080
56,813011370
57,813006594
58,813015990
59,804025158
60,807835282
61,812993523
62,812919717
63,812999809
64,813015349
65,812988313
66,812676294
67,812994503
68,813011787
69,813026435
70,813019787
71,813028093
72,813035840
73,812629336
74,813030842
75,813006531
76,812708726
77,804035142
78,813011979
79,813032874
80,812995348
81,813000956
82,813006479
83,813032878
84,813023149
85,813018644
86,813034193
87,813017680
88,813025484
89,813034844
90,812678143
91,804030734
92,812663890
93,804030093
94,813033731
95,812691910
96,812990808
97,812663324
98,812682264
99,813002358
100,812918075
101,813011969
102,812991278
103,812910922
104,813021949
105,813021133
106,813016438
107,812636128
108,813021889
109,812695655
110,812707210
111,812835162
112,812629596
113,812633073
114,812998094
115,813033752
116,813002155
117,812995157
118,813026391
119,813016578
120,813034174
121,813024076
122,813032264
123,813008816
124,813016134
125,812636234
126,812685406
127,812630892
128,813030773
129,813024514
130,813006964
131,813022597
132,812630294
133,813037247
134,812995945
135,812629563
136,813028820
137,813015030
138,813017998
139,812985785
140,813013181
141,812928684
142,813015759
143,804023913
144,812926844
145,813029185
146,813017870
147,807035848
148,813022686
149,812708738
150,813014040
151,813021651
152,813029327
153,812663310
154,813024727
155,813014282
156,813008280
157,813023599
158,813015390
159,812824290
160,812983552
161,812929280
162,812704053
163,813022522
164,812907787
165,813029106
166,813015312
167,813010817
168,812928676
169,812995624
170,813011661
171,812995684
172,813014479
173,812991392
174,812984389
175,813029702
176,812919485
177,813009765
178,813016183
179,812633928
180,813018725
181,812923306
182,813013367
183,812996538
184,813015575
185,813035391
186,804024459
187,812634798
188,813030765
189,813029979
190,812695977
191,807033005
192,812888539
193,813035275
194,813027990
195,813023144
196,813009472
197,813016326
198,813028695
199,813021912
200,800000051
201,812984336
202,812918117
203,813028885
204,813029669
205,812925466
206,812992146
207,812629902
208,812999160
209,812932742
210,812632922
211,812992068
212,813002061
213,813031707
214,812681180
215,813031386
216,812716930
217,813018983
218,813029809
219,812628182
220,813029944
221,813035034
222,813017162
223,812996498
224,813021304
225,813035441
226,813017808
227,812632330
228,813015595
229,813012232
230,813036205
231,812716790
232,812996309
233,812705739
234,812627164
235,813012010
236,813034488
237,812699365
238,813021211
239,812690894
240,813024028
241,813028202
242,813000871
243,813016858
244,813030029
245,813031376
246,813002250
247,812634973
248,812709370
249,812710388
250,813009236
251,812997667
252,813012674
253,812998803
254,813027392
255,813021431
256,813011570
257,813015742
258,813036456
259,813018623
260,812918174
261,812905090
262,813018256
263,813032962
264,813034119
265,813007834
266,812634851
267,813015738
268,812727398
269,813028959
270,813030129
271,813025315
272,813021168
273,813031672
274,813015615
275,813008990
276,813015313
277,813011062
278,813034542
279,813008571
280,813025876
281,813033726
282,812690364
283,813012973
284,804030019
285,813017383
286,813001891
287,813013068
288,812671638
289,813021338
290,812632551
291,813016451
292,813011404
293,812911747
294,812705776
295,812930450
296,800023786
297,813025576
298,813028144
299,813017988
300,812665023
301,812886040
302,812632467
303,812636890
304,812678015
305,813025172
306,813016398
307,813028412
308,812984791
309,812681211
310,813017672
311,812988022
312,812721550
313,813025311
314,813011760
315,813008205
316,813029683
317,813001684
318,812720160
319,813031910
320,813014802
321,812928710
322,813013818
323,813034509
324,812693200
325,813012387
326,813025744
327,812694011
328,813019288
329,813018436
330,804025966
331,812666983
332,813001966
333,813006497
334,813030030
335,812992901
336,813018755
337,813018922
338,813035849
339,813008345
340,812708878
341,813026660
342,812636337
343,813015088
344,812633001
345,812632156
346,813016211
347,813019477
348,812984030
349,813010519
350,813009604
351,804024834
352,813026574
353,813012829
354,812680322
355,813008883
356,813025210
357,813000912
358,813036283
359,812688843
360,812680900
361,812680573
362,813015195
363,813016013
364,813001986
365,813010696
366,813014151
367,813027047
368,813011466
369,807037211
370,812635404
371,812999440
372,812987800
373,813028889
374,812736621
375,812987619
376,813025410
377,812935738
378,813015875
379,812990885
380,813019640
381,812933346
382,812633668
383,813012462
384,813019879
385,813017051
386,813009441
387,813025143
388,812936463
389,812884636
390,813029518
391,812712810
392,812627238
393,813014494
394,800004180
395,812896113
396,813019144
397,813031229
398,812989452
399,812984487
400,813019798
401,813022147
402,804026502
403,813010601
404,813027959
405,813015532
406,813012796
407,812729468
408,813031230
409,813013537
410,812706280
411,813016390
412,812708842
413,812927446
414,813011247
415,812988246
416,813034423
417,812893241
418,812899628
419,812996138
420,813010004
421,813013734
422,813025009
423,812696659
424,812633027
425,813027413
426,812937307
427,813017064
428,812992291
429,813025095
430,813015986
431,812636268
432,812723011
433,813032858
434,813021120
435,813009733
436,813014848
437,813027871
438,813007672
439,812634922
440,813020056
441,813007663
442,812923551
443,813016400
